first_name,last_name,your_school,purchased_school,your_position,purchased_position
Brett,Bartolone,Colorado,University of Colorado - Boulder,Offensive Pass Game Coordinator/Tight Ends,"Graduate Assistant (Tight Ends, Offensive Passing-Game Coordinator)"
Andre,Gurode,Colorado,University of Colorado - Boulder,Assistant Coach/Offensive Line,Assistant Coach (Offensive Line)
Andre',Hart,Colorado,University of Colorado - Boulder,Assistant Coach/Linebackers,Assistant Coach (Linebackers)
George,Hegamin,Colorado,University of Colorado - Boulder,Assistant Coach/Offensive Line,Assistant Coach (Offensive Line)
George,Helow,Colorado,University of Colorado - Boulder,Defensive Run Game Coordinator/Defensive Ends,"Assistant Coach (Defensive Ends, Defensive Running-Game Coordinator)"
Robert,Livingston,Colorado,University of Colorado - Boulder,Defensive Coordinator/Safeties,"Assistant Coach (Defensive Coordinator, Safeties)"
Brennan,Marion,Colorado,University of Colorado - Boulder,Offensive Coordinator,Assistant Coach (Offensive Coordinator)
Kevin,Mathis,Colorado,University of Colorado - Boulder,Defensive Passing Game Coordinator/Cornerbacks,"Assistant Coach (Cornerbacks, Defensive Passing-Game Coordinator)"
Domata,Peko,Colorado,University of Colorado - Boulder,Assistant Coach/Defensive Line,Assistant Coach (Defensive Line)
Jason,Phillips,Colorado,University of Colorado - Boulder,Assistant Coach/Wide Receivers,Assistant Coach (Wide Receivers)
Michael,Pollock,Colorado,University of Colorado - Boulder,Assistant Coach/Special Teams Coordinator,Assistant Coach (Special Teams)
Deion,Sanders,Colorado,University of Colorado - Boulder,Head Football Coach,Head Coach
Gunnar,White,Colorado,University of Colorado - Boulder,Offensive Run Game Coordinator/Offensive Line,"Assistant Coach (Offensive Line, Offensive Running-Game Coordinator)"
Marcus,Trice,Houston,Stephen F Austin State University,Cornerbacks,"Recruiting Coordinator (Defense), Assistant Coach (Cornerbacks)"
Sean,Gleeson,Kansas State,University of Missouri,Offensive Coordinator,Assistant Coach (Quarterbacks)
Andy,Avalos,TCU,Texas Christian University,Defensive Coordinator,Assistant Coach (Defensive Coordinator)
